Word,HamCount,SpamCount,Ratio Ham 0 - Spam 1,WordInHams,WordInSpams
flyer,5.0,0.0,1.0,1,0
flyers,1.0,0.0,1.0,0,0
flüchten,1.0,0.0,1.0,0,0
folgende,3.0,0.0,1.0,3,0
forbidden,2.0,0.0,1.0,0,0
fortgeführt,1.0,0.0,1.0,1,0
fragen,2.0,0.0,1.0,2,0
frank,4.0,0.0,1.0,3,0
frau,3.0,0.0,1.0,3,0
frederik,11.0,0.0,1.0,3,0
freuen,1.0,0.0,1.0,1,0
freundliche,1.0,0.0,1.0,1,0
freundlichen,11.0,0.0,1.0,9,0
freut,1.0,0.0,1.0,1,0
fuer,5.0,0.0,1.0,2,0
funktion,1.0,0.0,1.0,1,0
funktionieren,1.0,0.0,1.0,0,0
funktioniert,1.0,0.0,1.0,1,0
funktionsadressen,1.0,0.0,1.0,0,0
fällen,1.0,0.0,1.0,1,0
föller,2.0,0.0,1.0,0,0
förderinstitutionen,1.0,0.0,1.0,1,0
förderinstrumente,1.0,0.0,1.0,1,0
führen,1.0,0.0,1.0,0,0
gabi,1.0,0.0,1.0,0,0
gandcrab,1.0,0.0,1.0,1,0
ganz,2.0,0.0,1.0,1,0
gebraucht,1.0,0.0,1.0,0,0
gebäude,6.0,0.0,1.0,5,0
gedruckt,1.0,0.0,1.0,1,0
geehrte,7.0,0.0,1.0,6,0
geehrter,3.0,0.0,1.0,3,0
geforderte,1.0,0.0,1.0,1,0
gefälscht,1.0,0.0,1.0,0,0
gefälschte,1.0,0.0,1.0,1,0
geführt,1.0,0.0,1.0,0,0
gegebenenfalls,1.0,0.0,1.0,1,0
gegen,1.0,0.0,1.0,1,0
gekennzeichnet,2.0,0.0,1.0,1,0
geklärt,1.0,0.0,1.0,1,0
gelangen,1.0,0.0,1.0,0,0
gelegenheit,2.0,0.0,1.0,0,0
gelungen,1.0,0.0,1.0,0,0
gemeinsam,2.0,0.0,1.0,2,0
gemeinsamen,2.0,0.0,1.0,2,0
gemerkt,1.0,0.0,1.0,1,0
genannt,1.0,0.0,1.0,1,0
genannten,1.0,0.0,1.0,1,0
genau,1.0,0.0,1.0,1,0
genommen,1.0,0.0,1.0,1,0
gentarnte,1.0,0.0,1.0,1,0
genutzt,1.0,0.0,1.0,0,0
germany,3.0,0.0,1.0,3,0
gerne,7.0,0.0,1.0,6,0
geschuetzte,2.0,0.0,1.0,2,0
geschäftsbereich,1.0,0.0,1.0,1,0
geschützte,1.0,0.0,1.0,1,0
geschützten,1.0,0.0,1.0,1,0
gesellschaft,4.0,0.0,1.0,0,0
gesendet,4.0,0.0,1.0,0,0
gesonderte,1.0,0.0,1.0,1,0
gespitzten,1.0,0.0,1.0,1,0
gesprächs,1.0,0.0,1.0,1,0
gestattet,1.0,0.0,1.0,0,0
gestellt,1.0,0.0,1.0,0,0
gewinnen,1.0,0.0,1.0,1,0
geöffnet,1.0,0.0,1.0,1,0
ggf,1.0,0.0,1.0,0,0
gleich,1.0,0.0,1.0,1,0
gorges,3.0,0.0,1.0,1,0
grobe,2.0,0.0,1.0,2,0
grober,1.0,0.0,1.0,1,0
gross,1.0,0.0,1.0,1,0
groß,2.0,0.0,1.0,2,0
großem,1.0,0.0,1.0,1,0
großen,1.0,0.0,1.0,1,0
gründer,1.0,0.0,1.0,1,0
grüner,1.0,0.0,1.0,1,0
grüße,9.0,0.0,1.0,6,0
grüßen,12.0,0.0,1.0,8,0
gut,5.0,0.0,1.0,2,0
habe,4.0,0.0,1.0,4,0
